Source;Target;Type;Weight;book;Gender
Jeor-Mormont;Qhorin-Halfhand;undirected;3;5;M
Jeyne-Poole;Ramsay-Snow;undirected;12;5;F
Jeyne-Poole;Roose-Bolton;undirected;3;5;F
Jeyne-Poole;Rowan;undirected;3;5;F
Jeyne-Poole;Squirrel;undirected;3;5;F
Jeyne-Poole;Theon-Greyjoy;undirected;24;5;F
Jhiqui;Missandei;undirected;10;5;F
Jhiqui;Rakharo;undirected;5;5;F
Jhiqui;Skahaz-mo-Kandaq;undirected;3;5;F
Jhogo;Rakharo;undirected;6;5;M
Joffrey-Baratheon;Tommen-Baratheon;undirected;3;5;M
Joffrey-Baratheon;Tyrion-Lannister;undirected;10;5;M
Jojen-Reed;Meera-Reed;undirected;21;5;M
Jon-Connington;Lemore;undirected;11;5;M
Jon-Connington;Myles-Toyne;undirected;9;5;M
Jon-Connington;Nyessos-Vhassar;undirected;3;5;M
Jon-Connington;Rhaegar-Targaryen;undirected;7;5;M
Jon-Connington;ROBERT;undirected;8;5;M
Jon-Connington;Rolly-Duckfield;undirected;12;5;M
Jon-Connington;Tyrion-Lannister;undirected;37;5;M
Jon-Connington;Tywin-Lannister;undirected;4;5;M
Jon-Connington;VARYS;undirected;6;5;M
Jon-Connington;Yandry;undirected;9;5;M
JON;Leathers;undirected;18;5;M
JON;Malegorn;undirected;5;5;M
JON;Mance-Rayder;undirected;25;5;M
JON;Melisandre;undirected;48;5;M
JON;Mully;undirected;14;5;M
JON;Narbert-Grandison;undirected;3;5;M
JON;Othell-Yarwyck;undirected;10;5;M
JON;Owen;undirected;3;5;M
JON;Patrek-of-Kings-Mountain;undirected;7;5;M
JON;Pypar;undirected;5;5;M
JON;Qhorin-Halfhand;undirected;3;5;M
JON;Rattleshirt;undirected;23;5;M
JON;ROBB;undirected;10;5;M
JON;Rory;undirected;6;5;M
JON;SAM;undirected;14;5;M
JON;Sansa-Stark;undirected;3;5;M
JON;Satin;undirected;15;5;M
JON;Selyse-Florent;undirected;38;5;M
JON;Shireen-Baratheon;undirected;4;5;M
JON;Sigorn;undirected;6;5;M
JON;Soren-Shieldbreaker;undirected;3;5;M
JON;Stannis-Baratheon;undirected;73;5;M
JON;Tom-Barleycorn;undirected;4;5;M
JON;Toregg;undirected;6;5;M
JON;Tormund;undirected;50;5;M
JON;Tycho-Nestoris;undirected;12;5;M
JON;Ulmer;undirected;3;5;M
JON;Val;undirected;37;5;M
JON;Weeper;undirected;3;5;M
JON;Wick-Whittlestick;undirected;5;5;M
JON;Wun-Weg-Wun-Dar-Wun;undirected;11;5;M
JON;Ygritte;undirected;14;5;M
JORAH;Nurse;undirected;4;5;M
JORAH;Penny;undirected;9;5;M
JORAH;Tyrion-Lannister;undirected;27;5;M
Joramun;Mance-Rayder;undirected;3;5;M
Joramun;Melisandre;undirected;4;5;M
Justin-Massey;Richard-Horpe;undirected;7;5;M
Justin-Massey;Stannis-Baratheon;undirected;10;5;M
Kasporio;Tybero-Istarion;undirected;3;5;M
Kasporio;Tyrion-Lannister;undirected;3;5;M
Kedry;Quentyn-Martell;undirected;3;5;M
Kerwin;Victarion-Greyjoy;undirected;12;5;M
Kevan-Lannister;Mace-Tyrell;undirected;5;5;M
Kevan-Lannister;Pycelle;undirected;5;5;M
Kevan-Lannister;Randyll-Tarly;undirected;6;5;M
Kevan-Lannister;Ronnet-Connington;undirected;3;5;M
Kevan-Lannister;Tommen-Baratheon;undirected;11;5;M
Kevan-Lannister;Tywin-Lannister;undirected;3;5;M
Kevan-Lannister;VARYS;undirected;3;5;M
Khrazz;Spotted-Cat;undirected;4;5;M
Khrazz;Steelskin;undirected;3;5;M
Kindly-Man;Waif;undirected;6;5;M
Leaf;Meera-Reed;undirected;6;5;M
Leathers;Toregg;undirected;4;5;M
Leathers;Tormund;undirected;3;5;M
Leathers;Wun-Weg-Wun-Dar-Wun;undirected;9;5;M
Lemore;Rolly-Duckfield;undirected;5;5;M
Lemore;Tyrion-Lannister;undirected;16;5;M
Lemore;Yandry;undirected;5;5;M
Lemore;Ysilla;undirected;3;5;M
Leona-Woolfield;Wyman-Manderly;undirected;4;5;F
Longwater-Pyke;Victarion-Greyjoy;undirected;3;5;M
Lorren;Sybelle-Glover;undirected;3;5;M
Luton;Skinner;undirected;3;5;M
Lyanna-Mormont;Stannis-Baratheon;undirected;3;5;F
Lyanna-Stark;Rhaegar-Targaryen;undirected;4;5;F
Mace-Tyrell;Pycelle;undirected;4;5;M
Mace-Tyrell;Randyll-Tarly;undirected;5;5;M
Mace-Tyrell;Robert-Strong;undirected;3;5;M
Maege-Mormont;ROBB;undirected;4;5;F
Malaquo-Maegyr;Nyessos-Vhassar;undirected;7;5;M
Malegorn;Narbert-Grandison;undirected;3;5;M
Malegorn;Selyse-Florent;undirected;5;5;M
Mance-Rayder;Melisandre;undirected;6;5;M
Mance-Rayder;Ramsay-Snow;undirected;7;5;M
Mance-Rayder;Rowan;undirected;4;5;M
Mance-Rayder;Squirrel;undirected;5;5;M
Mance-Rayder;Stannis-Baratheon;undirected;16;5;M
Mance-Rayder;Theon-Greyjoy;undirected;9;5;M
Mance-Rayder;Tormund;undirected;12;5;M
Mance-Rayder;Val;undirected;6;5;M
Mance-Rayder;Varamyr;undirected;3;5;M
Marlon-Manderly;Stannis-Baratheon;undirected;3;5;M
Marselen;Symon-Stripeback;undirected;4;5;M
Marya-Seaworth;Stannis-Baratheon;undirected;3;5;F
Melisandre;Rattleshirt;undirected;6;5;F
Melisandre;Selyse-Florent;undirected;11;5;F
Melisandre;Sigorn;undirected;3;5;F
Melisandre;Stannis-Baratheon;undirected;32;5;F
Melisandre;Ygritte;undirected;3;5;F
Meris;Quentyn-Martell;undirected;14;5;M
Meris;Tattered-Prince;undirected;9;5;M
Meryn-Trant;Rafford;undirected;3;5;M
Mezzara;Qezza;undirected;3;5;F
Miklaz;Qezza;undirected;4;5;M
Missandei;Quentyn-Martell;undirected;3;5;F
Missandei;Skahaz-mo-Kandaq;undirected;6;5;F
Moelle;Scolera;undirected;10;5;
Moelle;Unella;undirected;12;5;
Moqorro;Rodrik-Sparr;undirected;4;5;M
Moqorro;Tyrion-Lannister;undirected;7;5;M
Moqorro;Victarion-Greyjoy;undirected;21;5;M
Morgo;Tyrion-Lannister;undirected;4;5;M
Mors-Umber;Stannis-Baratheon;undirected;7;5;M
Myrcella-Baratheon;Stannis-Baratheon;undirected;3;5;F
Myrcella-Baratheon;Tommen-Baratheon;undirected;8;5;F
Myrcella-Baratheon;Trystane-Martell;undirected;4;5;F
Myrcella-Baratheon;Tyrion-Lannister;undirected;5;5;F
Narbert-Grandison;Patrek-of-Kings-Mountain;undirected;3;5;M
Narbert-Grandison;Selyse-Florent;undirected;8;5;M
Nurse;Penny;undirected;4;5;M
Nurse;Tyrion-Lannister;undirected;8;5;M
Nurse;Yezzan-zo-Qaggaz;undirected;12;5;M
Nymeria-Sand;Obara-Sand;undirected;8;5;M
Nymeria-Sand;Tyene-Sand;undirected;7;5;M
Obara-Sand;Tyene-Sand;undirected;6;5;M
Old-Bill-Bone;Quentyn-Martell;undirected;3;5;M
Othell-Yarwyck;Weeper;undirected;4;5;M
Patchface;Selyse-Florent;undirected;3;5;M
Patchface;Shireen-Baratheon;undirected;3;5;M
Patrek-of-Kings-Mountain;Selyse-Florent;undirected;7;5;M
Patrek-of-Kings-Mountain;Wun-Weg-Wun-Dar-Wun;undirected;3;5;M
Penny;Sweets;undirected;4;5;F
Penny;Tyrion-Lannister;undirected;59;5;F
Penny;Yezzan-zo-Qaggaz;undirected;9;5;F
LITTLEFINGER;VARYS;undirected;4;5;M
Pypar;Todder;undirected;4;5;M
Qarl-the-Maid;Tristifer-Botley;undirected;5;5;M
Qavo-Nogarys;Tyrion-Lannister;undirected;6;5;M
Quentyn-Martell;Tattered-Prince;undirected;14;5;M
Qyburn;Robert-Strong;undirected;4;5;M
Ralf-(Limper);Victarion-Greyjoy;undirected;3;5;M
Ramsay-Snow;Roose-Bolton;undirected;14;5;M
Ramsay-Snow;Skinner;undirected;5;5;M
Ramsay-Snow;Sour-Alyn;undirected;6;5;M
Ramsay-Snow;Stannis-Baratheon;undirected;8;5;M
Ramsay-Snow;Theon-Greyjoy;undirected;87;5;M
Ramsay-Snow;Walder-Frey-(son-of-Merrett);undirected;3;5;M
Ramsay-Snow;Wyman-Manderly;undirected;5;5;M
Ramsay-Snow;Yellow-Dick;undirected;7;5;M
Randyll-Tarly;Robert-Strong;undirected;3;5;M
Reznak-mo-Reznak;Skahaz-mo-Kandaq;undirected;5;5;M
Rhaegar-Frey;Wyman-Manderly;undirected;3;5;M
Rhaegar-Targaryen;ROBERT;undirected;7;5;M
Richard-Horpe;Stannis-Baratheon;undirected;3;5;M
Rickon-Stark;ROBB;undirected;3;5;M
Rickon-Stark;Theon-Greyjoy;undirected;4;5;M
ROBB;Rodrik-Cassel;undirected;3;5;M
ROBB;Stannis-Baratheon;undirected;6;5;M
ROBB;Theon-Greyjoy;undirected;7;5;M
ROBB;Wyman-Manderly;undirected;3;5;M
ROBERT;Stannis-Baratheon;undirected;11;5;M
ROBERT;Tommen-Baratheon;undirected;4;5;M
ROBERT;Tywin-Lannister;undirected;3;5;M
ROBERT;Val;undirected;3;5;M
ROBERT;Viserys-Targaryen;undirected;3;5;M
ROBERT;Willam-Dustin;undirected;3;5;M
Robett-Glover;Stannis-Baratheon;undirected;4;5;M
Rodrik-Cassel;Theon-Greyjoy;undirected;3;5;M
Rodrik-Sparr;Victarion-Greyjoy;undirected;7;5;M
Roger-Ryswell;Theon-Greyjoy;undirected;4;5;M
Rolly-Duckfield;Tyrion-Lannister;undirected;20;5;M
Rolly-Duckfield;Yandry;undirected;12;5;M
Rolly-Duckfield;Ysilla;undirected;9;5;M
Roose-Bolton;Stannis-Baratheon;undirected;13;5;M
Roose-Bolton;Theon-Greyjoy;undirected;14;5;M
Roose-Bolton;Walda-Frey-(daughter-of-Merrett);undirected;4;5;M
Roose-Bolton;Wyman-Manderly;undirected;5;5;M
Roose-Ryswell;Stannis-Baratheon;undirected;3;5;M
Rowan;Squirrel;undirected;5;5;M
Rowan;Theon-Greyjoy;undirected;12;5;M
Salladhor-Saan;Stannis-Baratheon;undirected;8;5;M
SAM;Stannis-Baratheon;undirected;8;5;M
Satin;Selyse-Florent;undirected;4;5;M
Scar;Tyrion-Lannister;undirected;8;5;M
Scar;Yezzan-zo-Qaggaz;undirected;4;5;M
Scolera;Unella;undirected;12;5;F
Selyse-Florent;Shireen-Baratheon;undirected;8;5;F
Selyse-Florent;Stannis-Baratheon;undirected;14;5;F
Selyse-Florent;Val;undirected;15;5;F
Selyse-Florent;Wun-Weg-Wun-Dar-Wun;undirected;5;5;F
Shae;Tysha;undirected;4;5;F
Shireen-Baratheon;Stannis-Baratheon;undirected;4;5;F
Shireen-Baratheon;Val;undirected;4;5;F
Shrouded-Lord;Tyrion-Lannister;undirected;4;5;M
Sigorn;Stannis-Baratheon;undirected;3;5;M
Skinner;Sour-Alyn;undirected;6;5;M
Skinner;Theon-Greyjoy;undirected;4;5;M
Sour-Alyn;Theon-Greyjoy;undirected;8;5;M
Sour-Alyn;Yellow-Dick;undirected;3;5;M
Squirrel;Theon-Greyjoy;undirected;7;5;M
Stannis-Baratheon;Theomore;undirected;3;5;M
Stannis-Baratheon;Theon-Greyjoy;undirected;10;5;M
Stannis-Baratheon;Tommen-Baratheon;undirected;7;5;M
Stannis-Baratheon;Tycho-Nestoris;undirected;7;5;M
Stannis-Baratheon;Tyrion-Lannister;undirected;3;5;M
Stannis-Baratheon;Tywin-Lannister;undirected;3;5;M
Stannis-Baratheon;Val;undirected;15;5;M
Stannis-Baratheon;William-Foxglove;undirected;3;5;M
Stannis-Baratheon;Wyman-Manderly;undirected;19;5;M
Sweets;Tyrion-Lannister;undirected;7;5;M
Sweets;Yezzan-zo-Qaggaz;undirected;6;5;M
Sybell-Spicer;Wyman-Manderly;undirected;3;5;M
Theomore;Wyman-Manderly;undirected;3;5;M
Theon-Greyjoy;Walda-Frey-(daughter-of-Merrett);undirected;3;5;M
Theon-Greyjoy;Walder-Frey-(son-of-Jammos);undirected;6;5;M
Theon-Greyjoy;Walder-Frey-(son-of-Merrett);undirected;6;5;M
Theon-Greyjoy;Wex-Pyke;undirected;3;5;M
Theon-Greyjoy;Willow-Witch-eye;undirected;4;5;M
Theon-Greyjoy;Wyman-Manderly;undirected;3;5;M
Theon-Greyjoy;Yellow-Dick;undirected;5;5;M
Thistle;Varamyr;undirected;7;5;M
Toregg;Tormund;undirected;8;5;M
Tormund;Val;undirected;9;5;M
Tormund;Weeper;undirected;9;5;M
Tybero-Istarion;Tyrion-Lannister;undirected;8;5;M
Tyrion-Lannister;Tysha;undirected;4;5;M
Tyrion-Lannister;Tywin-Lannister;undirected;18;5;M
Tyrion-Lannister;VARYS;undirected;7;5;M
Tyrion-Lannister;Yandry;undirected;15;5;M
Tyrion-Lannister;Yezzan-zo-Qaggaz;undirected;17;5;M
Tyrion-Lannister;Ysilla;undirected;11;5;M
Tywin-Lannister;Wylis-Manderly;undirected;3;5;M
Victarion-Greyjoy;Wulfe;undirected;3;5;M
Walder-Frey-(son-of-Jammos);Walder-Frey-(son-of-Merrett);undirected;10;5;M
Yandry;Ysilla;undirected;14;5;M
