Source;Target;Type;Weight;book;Gender
Balon-Swann;Myrcella-Baratheon;undirected;4;5;M
Balon-Swann;Tyrion-Lannister;undirected;3;5;M
Barbrey-Dustin;Jeyne-Poole;undirected;5;5;M
Barbrey-Dustin;Ramsay-Snow;undirected;5;5;M
Barbrey-Dustin;Roger-Ryswell;undirected;4;5;M
Barbrey-Dustin;Roose-Bolton;undirected;3;5;M
Barbrey-Dustin;Stannis-Baratheon;undirected;3;5;M
Barbrey-Dustin;Theon-Greyjoy;undirected;17;5;M
Barristan-Selmy;Belwas;undirected;9;5;M
Barristan-Selmy;Ben-Plumm;undirected;4;5;M
Barristan-Selmy;Bloodbeard;undirected;3;5;M
Barristan-Selmy;Daario-Naharis;undirected;18;5;M
Barristan-Selmy;DAENERYS;undirected;75;5;M
Barristan-Selmy;Galazza-Galare;undirected;5;5;M
Barristan-Selmy;Gerris-Drinkwater;undirected;4;5;M
Barristan-Selmy;Grazhar;undirected;3;5;M
Barristan-Selmy;Grey-Worm;undirected;6;5;M
Barristan-Selmy;Groleo;undirected;8;5;M
Barristan-Selmy;Hizdahr-zo-Loraq;undirected;42;5;M
Barristan-Selmy;Jhogo;undirected;3;5;M
Barristan-Selmy;Khrazz;undirected;8;5;M
Barristan-Selmy;Larraq;undirected;3;5;M
Barristan-Selmy;Missandei;undirected;8;5;M
Barristan-Selmy;Quentyn-Martell;undirected;22;5;M
Barristan-Selmy;Reznak-mo-Reznak;undirected;7;5;M
Barristan-Selmy;Rhaegar-Targaryen;undirected;3;5;M
Barristan-Selmy;Skahaz-mo-Kandaq;undirected;21;5;M
Barristan-Selmy;Steelskin;undirected;3;5;M
Barristan-Selmy;Tyrion-Lannister;undirected;3;5;M
Barristan-Selmy;VARYS;undirected;3;5;M
Barristan-Selmy;Widower;undirected;3;5;M
Barristan-Selmy;Xaro-Xhoan-Daxos;undirected;3;5;M
Barsena;DAENERYS;undirected;4;5;F
Bartimus;Davos-Seaworth;undirected;4;5;M
Belaquo;Goghor-the-Giant;undirected;7;5;M
Belaquo;Hizdahr-zo-Loraq;undirected;3;5;M
Belaquo;Irri;undirected;3;5;M
Belaquo;Spotted-Cat;undirected;5;5;M
Belwas;DAENERYS;undirected;13;5;M
Belwas;Hizdahr-zo-Loraq;undirected;11;5;M
Belwas;Quentyn-Martell;undirected;3;5;M
Belwas;Skahaz-mo-Kandaq;undirected;3;5;M
Ben-Bones;Ramsay-Snow;undirected;5;5;M
Ben-Bones;Theon-Greyjoy;undirected;4;5;M
Ben-Plumm;Daario-Naharis;undirected;9;5;M
Ben-Plumm;DAENERYS;undirected;14;5;M
Ben-Plumm;Hizdahr-zo-Loraq;undirected;3;5;M
Ben-Plumm;Kasporio;undirected;3;5;M
Ben-Plumm;Penny;undirected;3;5;M
Ben-Plumm;Tybero-Istarion;undirected;5;5;M
Ben-Plumm;Tyrion-Lannister;undirected;4;5;M
Benerro;DAENERYS;undirected;3;5;M
Benerro;Haldon;undirected;4;5;M
Benerro;Moqorro;undirected;4;5;M
Benerro;Tyrion-Lannister;undirected;7;5;M
Benethon-Scales;Narbert-Grandison;undirected;3;5;M
Benethon-Scales;Selyse-Florent;undirected;4;5;M
Benjen-Stark;JON;undirected;4;5;M
Black-Balaq;Franklyn-Flowers;undirected;3;5;M
Bloodbeard;DAENERYS;undirected;3;5;M
Bloodbeard;Hizdahr-zo-Loraq;undirected;5;5;M
Bloodbeard;Tattered-Prince;undirected;3;5;M
Boros-Blount;Meryn-Trant;undirected;3;5;M
Boros-Blount;Tommen-Baratheon;undirected;4;5;M
Bowen-Marsh;Cellador;undirected;8;5;M
Bowen-Marsh;Eddison-Tollett;undirected;9;5;M
Bowen-Marsh;JON;undirected;45;5;M
Bowen-Marsh;Mance-Rayder;undirected;5;5;M
Bowen-Marsh;Othell-Yarwyck;undirected;19;5;M
Bowen-Marsh;Satin;undirected;3;5;M
Bowen-Marsh;Stannis-Baratheon;undirected;3;5;M
Bowen-Marsh;Tormund;undirected;5;5;M
Bowen-Marsh;Wick-Whittlestick;undirected;5;5;M
Bran-Stark;Brynden-Rivers;undirected;14;5;M
Bran-Stark;Coldhands;undirected;6;5;M
Bran-Stark;NED;undirected;4;5;M
Bran-Stark;Hodor;undirected;50;5;M
Bran-Stark;Jojen-Reed;undirected;17;5;M
Bran-Stark;JON;undirected;4;5;M
Bran-Stark;Leaf;undirected;5;5;M
Bran-Stark;Meera-Reed;undirected;33;5;M
Bran-Stark;Rickon-Stark;undirected;7;5;M
Bran-Stark;ROBB;undirected;6;5;M
Bran-Stark;Theon-Greyjoy;undirected;8;5;M
Brandon-Norrey;JON;undirected;3;5;M
Brandon-Norrey;Torghen-Flint;undirected;3;5;M
Brea;Brusco;undirected;3;5;F
Brienne-of-Tarth;Cersei-Lannister;undirected;3;5;F
Brienne-of-Tarth;Jaime-Lannister;undirected;3;5;F
Brus-Buckler;Malegorn;undirected;6;5;M
Brus-Buckler;Narbert-Grandison;undirected;4;5;M
Brus-Buckler;Selyse-Florent;undirected;5;5;M
Brynden-Rivers;Meera-Reed;undirected;3;5;M
Brynden-Tully;Jaime-Lannister;undirected;4;5;M
Bump;Varamyr;undirected;5;5;M
Caggo;Gerris-Drinkwater;undirected;3;5;M
Caggo;Lucifer-Long;undirected;3;5;M
Caggo;Meris;undirected;7;5;M
Caggo;Quentyn-Martell;undirected;7;5;M
Caggo;Tattered-Prince;undirected;4;5;M
Caleotte;Doran-Martell;undirected;3;5;F
Caleotte;Gregor-Clegane;undirected;4;5;F
Camarron;Spotted-Cat;undirected;3;5;M
CATELYN;NED;undirected;5;5;F
Cellador;Clydas;undirected;3;5;M
Cellador;JON;undirected;3;5;M
